name,version_number,release_date
DF 0.21.93.19a,0.21.93.19a,2006-08-08
DF 0.21.93.19c,0.21.93.19c,2006-08-10
DF 0.21.95.19a,0.21.95.19a,2006-08-12
DF 0.21.95.19b,0.21.95.19b,2006-08-13
DF 0.21.95.19c,0.21.95.19c,2006-08-14
DF 0.21.100.19a,0.21.100.19a,2006-08-16
DF 0.21.101.19a,0.21.101.19a,2006-08-19
DF 0.21.101.19d,0.21.101.19d,2006-08-21
DF 0.21.102.19a,0.21.102.19a,2006-08-24
DF 0.21.104.19b,0.21.104.19b,2006-08-27
DF 0.21.104.19d,0.21.104.19d,2006-09-02
DF 0.21.104.21a,0.21.104.21a,2006-09-08
DF 0.21.104.21b,0.21.104.21b,2006-09-16
DF 0.21.105.21a,0.21.105.21a,2006-09-25
DF 0.22.107.21a,0.22.107.21a,2006-10-02
DF 0.22.110.22e,0.22.110.22e,2006-10-29
DF 0.22.110.22f,0.22.110.22f,2006-11-03
DF 0.22.110.23a,0.22.110.23a,2006-11-17
DF 0.22.120.23a,0.22.120.23a,2006-11-23
DF 0.22.121.23b,0.22.121.23b,2006-12-16
DF 0.22.123.23a,0.22.123.23a,2006-12-21
DF 0.23.130.23a,0.23.130.23a,2007-01-18
DF 0.27.169.32a,0.27.169.32a,2007-10-29
DF 0.27.169.33a,0.27.169.33a,2007-11-01
DF 0.27.169.33b,0.27.169.33b,2007-11-16
DF 0.27.169.33c,0.27.169.33c,2007-11-23
DF 0.27.169.33d,0.27.169.33d,2007-11-30
DF 0.27.169.33e,0.27.169.33e,2007-12-08
DF 0.27.169.33f,0.27.169.33f,2007-12-14
DF 0.27.169.33g,0.27.169.33g,2007-12-21
DF 0.27.173.38a,0.27.173.38a,2008-02-04
DF 0.27.176.38a,0.27.176.38a,2008-02-15
DF 0.27.176.38b,0.27.176.38b,2008-02-23
DF 0.27.176.38c,0.27.176.38c,2008-02-24
DF 0.28.181.39a,0.28.181.39a,2008-07-14
DF 0.28.181.39b,0.28.181.39b,2008-07-15
DF 0.28.181.39c,0.28.181.39c,2008-07-17
DF 0.28.181.39d,0.28.181.39d,2008-07-23
DF 0.28.181.39e,0.28.181.39e,2008-07-24
DF 0.28.181.39f,0.28.181.39f,2008-08-09
DF 0.28.181.40a,0.28.181.40a,2008-08-18
DF 0.28.181.40b,0.28.181.40b,2008-08-21
DF 0.28.181.40c,0.28.181.40c,2008-08-21
DF 0.28.181.40d,0.28.181.40d,2008-09-08
DF 0.31.01,0.31.01,2010-04-01
DF 0.31.02,0.31.02,2010-04-08
DF 0.31.03,0.31.03,2010-04-12
DF 0.31.04,0.31.04,2010-05-16
DF 0.31.05,0.31.05,2010-06-04
DF 0.31.06,0.31.06,2010-06-09
DF 0.31.08,0.31.08,2010-06-19
DF 0.31.09,0.31.09,2010-07-10
DF 0.31.10,0.31.10,2010-07-11
DF 0.31.11,0.31.11,2010-07-23
DF 0.31.12,0.31.12,2010-07-25
DF 0.31.13,0.31.13,2010-09-15
DF 0.31.14,0.31.14,2010-09-23
DF 0.31.15,0.31.15,2010-10-03
DF 0.31.16,0.31.16,2010-10-04
DF 0.31.17,0.31.17,2010-11-11
DF 0.31.18,0.31.18,2010-11-16
DF 0.31.19,0.31.19,2011-02-16
DF 0.31.21,0.31.21,2011-03-06
DF 0.31.22,0.31.22,2011-03-24
DF 0.31.23,0.31.23,2011-03-26
DF 0.31.24,0.31.24,2011-03-27
DF 0.31.25,0.31.25,2011-03-28
DF 0.34.01,0.34.01,2012-02-14
DF 0.34.02,0.34.02,2012-02-18
DF 0.34.03,0.34.03,2012-02-28
DF 0.34.04,0.34.04,2012-02-29
DF 0.34.05,0.34.05,2012-03-06
DF 0.34.06,0.34.06,2012-03-23
DF 0.34.07,0.34.07,2012-03-30
DF 0.34.08,0.34.08,2012-05-14
DF 0.34.09,0.34.09,2012-05-17
DF 0.34.10,0.34.10,2012-05-21
DF 0.34.11,0.34.11,2012-06-04
DF 0.40.01,0.40.01,2014-07-07
DF 0.40.02,0.40.02,2014-07-10
DF 0.40.03,0.40.03,2014-07-13
DF 0.40.04,0.40.04,2014-07-20
DF 0.40.05,0.40.05,2014-07-27
DF 0.40.06,0.40.06,2014-08-03
DF 0.40.07,0.40.07,2014-08-10
DF 0.40.08,0.40.08,2014-08-11
DF 0.40.09,0.40.09,2014-08-17
DF 0.40.10,0.40.10,2014-08-24
DF 0.40.11,0.40.11,2014-09-03
DF 0.40.12,0.40.12,2014-09-10
DF 0.40.13,0.40.13,2014-09-17
DF 0.40.14,0.40.14,2014-10-25
DF 0.40.15,0.40.15,2014-11-05
DF 0.40.16,0.40.16,2014-11-12
DF 0.40.17,0.40.17,2014-11-19
DF 0.40.18,0.40.18,2014-11-20
DF 0.40.19,0.40.19,2014-11-26
DF 0.40.20,0.40.20,2014-12-18
DF 0.40.21,0.40.21,2014-12-19
DF 0.40.22,0.40.22,2014-12-21
DF 0.40.23,0.40.23,2014-12-24
DF 0.40.24,0.40.24,2015-01-07
DF 0.42.01,0.42.01,2015-12-01
DF 0.42.02,0.42.02,2015-12-05
DF 0.42.03,0.42.03,2015-12-12
DF 0.42.04,0.42.04,2015-12-26
DF 0.42.05,0.42.05,2016-01-17
DF 0.42.06,0.42.06,2016-02-10
DF 0.43.01,0.43.01,2016-05-09
DF 0.43.02,0.43.02,2016-05-11
DF 0.43.03,0.43.03,2016-05-22
DF 0.43.04,0.43.04,2016-06-20
DF 0.43.05,0.43.05,2016-07-05
DF 0.44.01,0.44.01,2017-11-22
DF 0.44.02,0.44.02,2017-11-23
DF 0.44.03,0.44.03,2017-12-25
DF 0.44.04,0.44.04,2018-01-10
DF 0.44.05,0.44.05,2018-01-14
DF 0.44.06,0.44.06,2018-03-09
DF 0.44.07,0.44.07,2018-03-12
DF 0.44.08,0.44.08,2018-03-29
DF 0.44.09,0.44.09,2018-04-01
DF 0.44.10,0.44.10,2018-05-05
DF 0.44.11,0.44.11,2018-06-23
DF 0.44.12,0.44.12,2018-07-07
DF 0.47.01,0.47.01,2020-01-29
DF 0.47.02,0.47.02,2020-02-06
DF 0.47.03,0.47.03,2020-02-16
DF 0.47.04,0.47.04,2020-02-29
DF 0.47.05,0.47.05,2021-01-28
DF 50.04,50.04,2022-12-22
DF 50.05,50.05,2023-01-05
DF 50.06,50.06,2023-02-07
DF 50.07,50.07,2023-02-07
DF 50.08,50.08,2023-05-02
DF 50.09,50.09,2023-06-28
DF 50.10,50.10,2023-09-19
DF 50.11,50.11,2023-10-03
DF 50.12,50.12,2024-03-06
DF 50.13,50.13,2024-04-23
DF 50.14,50.14,2024-09-25
DF 50.15,50.15,2024-12-12
DF 51.02,51.02,2025-01-23
DF 51.05,51.05,2025-02-12
DF 51.06,51.06,2025-02-26
DF 51.07,51.07,2025-03-12
DF 51.08,51.08,2025-03-13
DF 51.09,51.09,2025-04-02
DF 51.10,51.10,2025-04-03
DF 51.11,51.11,2025-04-21
DF 51.12,51.12,2025-06-26
DF 51.13,51.13,2025-06-27
DF 52.01,52.01,2025-07-21
DF 52.02,52.02,2025-07-24
DF 52.03,52.03,2025-08-07
DF 52.04,52.04,2025-08-28
DF 52.05,52.05,2025-10-01
DF 53.01,53.01,2025-11-03
DF 53.02,53.02,2025-11-04
DF 53.03,53.03,2025-11-10
DF 53.04,53.04,2025-11-17
DF 53.05,53.05,2025-11-18
DF 53.06,53.06,2025-11-24
